ID,Timestamp,IP Address,Endpoint,Method,Payload Size,Anomaly Score,Rule Flag,Rule Detection,ML Flag,Final Decision,Attacks Count,Failed Attempts
16,2026-02-21 17:18:57,192.168.1.110,/api/test,GET,5,-0.546787,0,,1,ANOMALY,0,0
17,2026-02-21 17:18:57,203.0.113.200,/api/users,POST,30,-0.492481,1,"SQL_INJECTION (pattern matched),COMMAND_INJECTION",0,ATTACK,2,0
15,2026-02-21 17:18:07,192.168.1.10,/api/delete,POST,34,-0.475924,1,COMMAND_INJECTION,0,ATTACK,1,0
13,2026-02-21 17:18:06,203.0.113.6,/api/products,POST,30,-0.500707,1,"SQL_INJECTION (pattern matched),COMMAND_INJECTION,SLOW_DDoS (204 requests)",0,ATTACK,3,0
14,2026-02-21 17:18:06,192.168.1.16,/api/products,PUT,11,-0.524185,0,,1,ANOMALY,0,0
11,2026-02-21 17:18:05,203.0.113.2,/api/users,POST,17,-0.455443,1,SLOW_DDoS (190 requests),0,ATTACK,1,0
12,2026-02-21 17:18:05,192.168.1.3,/api/delete,POST,42,-0.454901,0,,0,NORMAL,0,0
9,2026-02-21 17:18:04,203.0.113.5,/api/users,POST,28,-0.465161,1,"XSS_INJECTION,SLOW_DDoS (121 requests)",0,ATTACK,2,0
10,2026-02-21 17:18:04,203.0.113.3,/api/search,POST,47,-0.509642,1,"XSS_INJECTION,SLOW_DDoS (123 requests)",0,ATTACK,2,0
7,2026-02-21 17:18:03,203.0.113.9,/api/products,POST,42,-0.51339,1,"COMMAND_INJECTION,SLOW_DDoS (153 requests)",1,ATTACK,2,0
8,2026-02-21 17:18:03,192.168.1.8,/api/admin,POST,32,-0.462785,0,,0,NORMAL,0,0
5,2026-02-21 17:18:02,192.168.1.2,/api/orders,POST,23,-0.471242,0,,0,NORMAL,0,0
6,2026-02-21 17:18:02,203.0.113.8,/api/users,POST,24,-0.491404,1,SLOW_DDoS (204 requests),0,ATTACK,1,0
3,2026-02-21 17:18:01,192.168.1.7,/api/users,GET,0,-0.562966,0,,1,ANOMALY,0,0
4,2026-02-21 17:18:01,192.168.1.4,/api/delete,PUT,11,-0.524185,0,,1,ANOMALY,0,0
1,2026-02-21 17:18:00,203.0.113.6,/api/products,POST,24,-0.491404,1,SLOW_DDoS (258 requests),0,ATTACK,1,0
2,2026-02-21 17:18:00,192.168.1.7,/api/upload,POST,46,-0.47143,0,,0,NORMAL,0,0
