ID,Timestamp,IP Address,Endpoint,Method,Payload Size,Anomaly Score,Rule Flag,Rule Detection,ML Flag,Final Decision,Attacks Count,Failed Attempts
267,2026-02-21 18:39:05,203.0.113.2,/api/users,POST,49,-0.512054,1,"SQL_INJECTION (found 3 keywords),SLOW_DDoS (153 requests)",1,ATTACK,2,1
265,2026-02-21 18:39:04,192.168.1.10,/api/admin,GET,0,-0.558426,0,,1,ANOMALY,0,0
266,2026-02-21 18:39:04,192.168.1.5,/api/auth/login,POST,34,-0.490588,1,COMMAND_INJECTION,0,ATTACK,1,0
263,2026-02-21 18:39:03,192.168.1.5,/api/products,GET,0,-0.559948,0,,1,ANOMALY,0,0
264,2026-02-21 18:39:03,192.168.1.14,/api/admin,GET,0,-0.558426,0,,1,ANOMALY,0,0
262,2026-02-21 18:39:02,192.168.1.14,/api/users,GET,0,-0.559948,0,,1,ANOMALY,0,0
260,2026-02-21 18:39:01,203.0.113.9,/api/auth/login,POST,32,-0.471342,0,,0,NORMAL,0,1
261,2026-02-21 18:39:01,192.168.1.16,/api/auth/register,POST,34,-0.472874,1,COMMAND_INJECTION,0,ATTACK,1,0
258,2026-02-21 18:39:00,192.168.1.14,/api/products,GET,0,-0.559948,0,,1,ANOMALY,0,0
259,2026-02-21 18:39:00,192.168.1.17,/api/upload,POST,25,-0.429191,0,,0,NORMAL,0,0
256,2026-02-21 18:38:59,203.0.113.9,/api/delete,GET,16,-0.488433,0,,0,NORMAL,0,0
257,2026-02-21 18:38:59,203.0.113.9,/api/search,POST,33,-0.532339,1,"SQL_INJECTION (pattern matched),SLOW_DDoS (239 requests)",1,ATTACK,2,0
254,2026-02-21 18:38:58,192.168.1.3,/api/users,POST,32,-0.462785,0,,0,NORMAL,0,0
255,2026-02-21 18:38:58,203.0.113.8,/api/users,POST,31,-0.478038,1,"XSS_INJECTION,SLOW_DDoS (152 requests)",0,ATTACK,2,0
252,2026-02-21 18:38:57,192.168.1.12,/api/products,PUT,42,-0.513818,0,,1,ANOMALY,0,0
253,2026-02-21 18:38:57,192.168.1.1,/api/auth/login,GET,0,-0.585165,0,,1,ANOMALY,0,0
250,2026-02-21 18:38:56,192.168.1.17,/api/auth/register,POST,34,-0.472874,1,COMMAND_INJECTION,0,ATTACK,1,0
251,2026-02-21 18:38:56,192.168.1.11,/api/upload,POST,32,-0.499694,0,,0,NORMAL,0,0
248,2026-02-21 18:38:55,203.0.113.5,/api/auth/register,GET,30,-0.485321,1,COMMAND_INJECTION,0,ATTACK,1,0
249,2026-02-21 18:38:55,203.0.113.9,/api/search,POST,29,-0.488517,1,"SQL_INJECTION (pattern matched),SLOW_DDoS (180 requests)",0,ATTACK,2,0
247,2026-02-21 18:38:54,192.168.1.9,/api/users,PUT,42,-0.513818,0,,1,ANOMALY,0,0
245,2026-02-21 18:38:53,192.168.1.2,/api/upload,GET,0,-0.562966,0,,1,ANOMALY,0,0
246,2026-02-21 18:38:53,203.0.113.2,/api/auth/login,POST,32,-0.490712,0,,0,NORMAL,0,1
243,2026-02-21 18:38:52,203.0.113.9,/api/products,POST,29,-0.475471,1,XSS_INJECTION,0,ATTACK,1,0
244,2026-02-21 18:38:52,203.0.113.2,/api/products,POST,16,-0.470444,0,,0,NORMAL,0,0
241,2026-02-21 18:38:51,192.168.1.9,/api/auth/register,GET,0,-0.562966,0,,1,ANOMALY,0,0
242,2026-02-21 18:38:51,192.168.1.2,/api/auth/login,PUT,28,-0.516306,0,,1,ANOMALY,0,0
239,2026-02-21 18:38:50,192.168.1.9,/api/search,POST,34,-0.468796,1,COMMAND_INJECTION,0,ATTACK,1,0
240,2026-02-21 18:38:50,192.168.1.1,/api/upload,PUT,46,-0.509365,0,,0,NORMAL,0,0
237,2026-02-21 18:38:49,192.168.1.18,/api/admin,GET,0,-0.558426,0,,1,ANOMALY,0,0
238,2026-02-21 18:38:49,192.168.1.11,/api/orders,GET,0,-0.562966,0,,1,ANOMALY,0,0
235,2026-02-21 18:38:48,192.168.1.11,/api/auth/login,PUT,32,-0.553716,0,,1,ANOMALY,0,0
236,2026-02-21 18:38:48,192.168.1.3,/api/search,GET,0,-0.558426,0,,1,ANOMALY,0,0
233,2026-02-21 18:38:47,192.168.1.6,/api/products,POST,28,-0.436583,0,,0,NORMAL,0,0
234,2026-02-21 18:38:47,192.168.1.17,/api/products,GET,0,-0.562966,0,,1,ANOMALY,0,0
231,2026-02-21 18:38:46,192.168.1.13,/api/delete,PUT,34,-0.518251,1,COMMAND_INJECTION,1,ATTACK,1,0
232,2026-02-21 18:38:46,192.168.1.9,/api/auth/register,GET,0,-0.562966,0,,1,ANOMALY,0,0
230,2026-02-21 18:38:45,192.168.1.5,/api/upload,POST,32,-0.462785,0,,0,NORMAL,0,0
228,2026-02-21 18:38:44,192.168.1.17,/api/upload,POST,11,-0.454506,0,,0,NORMAL,0,0
